"vehicle.id","vehicle.make","vehicle.model","vehicle.type","fuelType","vehicle.year","vehicle category"
44061,"Tesla","Model X","suv","ELECTRIC",2019,"high end"
69291,"Tesla","Model X","suv","ELECTRIC",2018,"high end"
83091,"Toyota","Prius","car","HYBRID",2012,"medium range"
80815,"Ford","Mustang","car","GASOLINE",2018,"high end"
43093,"Chrysler","Sebring","car","GASOLINE",2010,"medium range"
90109,"Mercedes-Benz","GL-Class","suv","GASOLINE",2012,"medium range"
63578,"GMC","Yukon XL","suv","GASOLINE",2005,"low end"
42306,"Ford","Expedition","suv","GASOLINE",2018,"high end"
78739,"Ford","Focus RS","car","GASOLINE",2016,"high end"
87429,"Ford","EcoSport","suv","GASOLINE",2018,"high end"
96332,"Ford","F-150","truck","GASOLINE",2012,"medium range"
16703,"Toyota","Prius","car","HYBRID",2012,"medium range"
48539,"Volkswagen","Tiguan","suv","GASOLINE",2018,"high end"
46073,"Toyota","Avalon Hybrid","car","HYBRID",2013,"medium range"
74366,"Saab","3-Sep","car","GASOLINE",2011,"medium range"
84067,"Ram","CV Tradesman","minivan","GASOLINE",2014,"medium range"
39990,"Jeep","Cherokee","suv","GASOLINE",2018,"high end"
43130,"Porsche","Cayman","car","GASOLINE",2007,"low end"
50544,"Jeep","Wrangler JK","suv","GASOLINE",2018,"high end"
30461,"Ford","Mustang","car","GASOLINE",2019,"high end"
21886,"Ford","Explorer","suv","GASOLINE",2012,"medium range"
90810,"Nissan","Rogue","suv","GASOLINE",2016,"high end"
76152,"Tesla","Model S","car","ELECTRIC",2015,"medium range"
12169,"Dodge","Charger","car","GASOLINE",2014,"medium range"
13796,"Volkswagen","Jetta","car","GASOLINE",2019,"high end"
36129,"Hyundai","Sonata","car","GASOLINE",2016,"high end"
90407,"Chevrolet","Impala","car","GASOLINE",2010,"medium range"
59097,"Hyundai","Accent","car","GASOLINE",2015,"medium range"
45709,"Ford","Focus","car","GASOLINE",2010,"medium range"
15672,"GMC","Yukon XL","suv","GASOLINE",2018,"high end"
27470,"Toyota","Sequoia","suv","GASOLINE",2016,"high end"
57016,"Mercedes-Benz","GLC-Class","suv","GASOLINE",2016,"high end"
10334,"Ford","Fiesta","car","",2019,"high end"
92128,"Dodge","Journey","suv","GASOLINE",2019,"high end"
83220,"Lexus","ES 300h","car","HYBRID",2015,"medium range"
18404,"Cadillac","ATS","car","GASOLINE",2015,"medium range"
71046,"Lexus","IS 350","car","GASOLINE",2015,"medium range"
77344,"smart","fortwo","car","GASOLINE",2010,"medium range"
